epoch,loss,lr,val_loss
0,8.91155214048922e-05,1e-04,7.331077358685434e-05
1,8.026191062526777e-05,1e-04,7.219845429062843e-05
2,8.036979124881327e-05,1e-04,7.769308285787702e-05
3,8.083956345217302e-05,1e-04,7.340197043959051e-05
4,7.959123468026519e-05,1e-04,7.246336463140324e-05
5,8.138669363688678e-05,1e-04,7.332469976972789e-05
6,7.898668991401792e-05,1e-04,7.378980080829933e-05
7,7.436351734213531e-05,5e-05,6.772011693101376e-05
8,7.352310058195144e-05,5e-05,6.282988761086017e-05
9,7.260192069225013e-05,5e-05,6.808255420764908e-05
10,7.160559471230954e-05,5e-05,6.538149318657815e-05
11,6.89055523253046e-05,5e-05,6.396164826583117e-05
12,6.754526839358732e-05,5e-05,6.397327524609864e-05
13,6.533556734211743e-05,5e-05,5.943347787251696e-05
14,6.212373409653082e-05,5e-05,5.958666588412598e-05
15,5.902894918108359e-05,5e-05,5.721356865251437e-05
16,5.7550616475054994e-05,5e-05,5.6845281505957246e-05
17,5.372075975174084e-05,5e-05,5.304721344145946e-05
18,5.0703958550002426e-05,5e-05,5.000060627935454e-05
19,5.066145968157798e-05,5e-05,4.8737543693277985e-05
20,4.765349513036199e-05,5e-05,4.92814760946203e-05
21,4.746561899082735e-05,5e-05,4.817087756237015e-05
22,4.6504308556905016e-05,5e-05,4.4462416553869843e-05
23,4.4920070649823174e-05,5e-05,4.787032230524346e-05
24,4.326463385950774e-05,5e-05,5.1032409828621894e-05
25,4.253329825587571e-05,5e-05,5.227342990110628e-05
26,4.284297028789297e-05,5e-05,4.618815000867471e-05
27,4.0580031054560095e-05,5e-05,4.474288653000258e-05
28,3.846429899567738e-05,2.5e-05,4.81683891848661e-05
29,3.7047124351374805e-05,2.5e-05,4.1933919419534504e-05
30,3.6756151530425996e-05,2.5e-05,4.6877416025381535e-05
31,3.763990389415994e-05,2.5e-05,4.875615195487626e-05
32,3.563669815775938e-05,2.5e-05,4.6103134081931785e-05
33,3.6201177863404155e-05,2.5e-05,4.6504512283718213e-05
34,3.498942169244401e-05,2.5e-05,4.632662967196666e-05
35,3.426895636948757e-05,1.25e-05,4.255952444509603e-05
36,3.359071342856623e-05,1.25e-05,4.5015163777861744e-05
37,3.381855640327558e-05,1.25e-05,4.552906102617271e-05
38,3.2935749914031476e-05,1.25e-05,4.033588993479498e-05
39,3.3040239941328764e-05,1.25e-05,4.4237014662940055e-05
40,3.255263072787784e-05,1.25e-05,4.683357838075608e-05
41,3.245931657147594e-05,1.25e-05,4.6581379137933254e-05
42,3.183542867191136e-05,1.25e-05,3.9998161810217425e-05
43,3.2028470741352066e-05,1.25e-05,4.2454343201825395e-05
44,3.191473297192715e-05,6.25e-06,4.583274858305231e-05
45,3.0541188607458025e-05,6.25e-06,4.137123323744163e-05
46,3.052349347854033e-05,6.25e-06,4.291169534553774e-05
47,3.118485619779676e-05,6.25e-06,4.501558214542456e-05
48,3.011961052834522e-05,6.25e-06,4.403684943099506e-05
49,3.044280492758844e-05,6.25e-06,4.694707604357973e-05
50,3.0283219530247152e-05,6.25e-06,4.59482180303894e-05
51,2.978303746203892e-05,3.125e-06,4.571102908812463e-05
52,2.958800905616954e-05,3.125e-06,4.224583972245455e-05
53,2.9784278012812138e-05,3.125e-06,4.398904638946988e-05
54,3.012849629158154e-05,3.125e-06,4.3904576159548014e-05
55,2.9098971936036833e-05,3.125e-06,4.091392474947497e-05
56,2.9720116799580865e-05,3.125e-06,4.0182843804359436e-05
57,2.879160274460446e-05,3.125e-06,4.622865526471287e-05
58,2.9432856536004692e-05,1.5625e-06,4.76493951282464e-05
59,2.893333112297114e-05,1.5625e-06,4.568740405375138e-05
60,2.9039247237960808e-05,1.5625e-06,4.2772400774993e-05
61,2.8686930818366818e-05,1.5625e-06,4.736666596727446e-05
62,2.9697490390390158e-05,1.5625e-06,4.403048296808265e-05
